,PLAYER,POSITION,RACE,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,Rk,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Aaron Brooks, G,1,IND,65,13.8,93,1.4,5,1,5,58,PG,32,IND,65,894,9.5,0.507,0.427,0.133,2.3,6.3,4.3,20.7,1.4,0.9,17.2,19.2,-0.2,0.5,0.3,0.016,-2.1,-2.5,-4.6,-0.6
2,Aaron Gordon,F,0,ORL,80,28.7,172,2.2,3.6,0,1,157,SF,21,ORL,80,2298,14.5,0.53,0.309,0.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,2,1.7,3.7,0.077,-0.2,-0.4,-0.7,0.8
3,Aaron Harrison, G,1,CHA,5,3.4,2,0.4,5.6,0,0,181,SG,22,CHO,5,17,-2.2,0.102,0.5,0.5,0,19.5,9.7,22.6,0,0,0,12.9,-0.1,0,-0.1,-0.146,-9.6,-2.1,-11.6,0
4,Adreian Payne,F,1,MIN,18,7.5,32,1.8,11.4,1,1,352,PF,25,MIN,18,135,14.4,0.505,0.278,0.352,7.7,21,14.3,8,3,4.4,11.4,23.1,0,0.2,0.2,0.086,-2.2,0.7,-1.5,0
5,Al Jefferson, C,1,IND,66,14.1,125,1.9,6.4,0,0,221,C,32,IND,66,931,18.9,0.526,0.002,0.18,9.2,24.2,16.8,11,1,1.5,6.1,26.1,1.2,1.1,2.3,0.119,-1.5,-1.5,-3.1,-0.2
6,Alan Anderson,G,1,LAC,30,10.3,35,1.2,5.5,0,0,12,SF,34,LAC,30,308,5,0.494,0.55,0.2,1.1,7.4,4.4,4.9,0.5,0,7.4,13.7,0,0.1,0.1,0.02,-2.6,-2.3,-4.9,-0.2
7,Alan Williams,F,1,PHX,47,15.1,125,2.7,8.5,2,2,464,C,24,PHO,47,708,19.5,0.547,0.004,0.419,14,31.2,22.4,5.2,1.8,3.7,10.5,20.9,1.1,0.9,2.1,0.142,-1.8,0.1,-1.7,0.1
8,Alec Burks,G,1,UTAH,42,15.5,50,1.2,3.7,0,0,65,SG,25,UTA,42,653,11.6,0.501,0.306,0.315,3.1,17.7,10.6,7.5,1.4,0.6,11,22.7,-0.1,0.9,0.8,0.056,-3.3,-0.9,-4.2,-0.4
9,Alex Abrines,G,0,OKC,68,15.5,114,1.7,5.2,0,0,1,SG,23,OKC,68,1055,10.1,0.56,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,0.096,-0.3,-2.2,-2.5,-0.1
10,Alex Len,C,0,PHX,77,20.3,242,3.1,7.4,0,4,260,C,23,PHO,77,1560,15,0.553,0.026,0.449,10.6,25.3,17.8,4.2,1.2,5.1,15.5,17.6,1.2,1.7,3,0.091,-3,1.3,-1.7,0.1
11,Alex Poythress,F,1,PHI,6,26.2,14,2.3,4.3,0,0,366,PF,23,PHI,6,157,13.2,0.548,0.352,0.185,7.7,12.7,10.2,5.1,0.9,1,4.9,16.9,0.2,0.1,0.3,0.099,-0.6,-1.9,-2.5,0
12,Alexis Ajinca, C,1,NO,39,15,77,2,6.3,0,1,5,C,28,NOP,39,584,12.9,0.529,0.022,0.225,8.3,23.8,16,3.1,1.7,3.1,13.7,17.2,0,0.9,1,0.08,-5.1,1,-4.1,-0.3
13,Allen Crabbe,G,1,POR,79,28.5,171,2.2,3.6,0,0,92,SG,24,POR,79,2254,11.6,0.602,0.467,0.192,0.9,10.2,5.6,6.1,1.2,0.7,8.1,14.9,3.1,1,4.2,0.089,0.3,-1.3,-1,0.6
14,Alonzo Gee,F,1,DEN,13,6.8,14,1.1,7.6,0,0,149,SF,29,DEN,13,89,3.1,0.306,0.214,0.643,5,13.5,9.3,8.2,2.7,0.9,18.2,10.5,-0.1,0.1,-0.1,-0.032,-5.6,1,-4.6,-0.1
15,Amir Johnson, C,1,BOS,80,20.1,211,2.6,6.3,2,1,226,PF,29,BOS,80,1608,15,0.628,0.178,0.27,8.3,17,12.7,13,1.6,3.2,15.7,13.6,2.9,2.1,5,0.149,-0.2,2.4,2.2,1.7
16,Anderson Varejao, C,0,GS,14,6.6,16,1.1,8.3,0,0,443,C,34,GSW,14,92,9.4,0.478,0,0.786,15.3,16.8,16.1,13,1.6,2.6,29.8,12.6,0,0.1,0.2,0.097,-3.2,2.5,-0.6,0
17,Andre Drummond, C,1,DET,81,29.7,237,2.9,4.7,3,2,115,C,23,DET,81,2409,20.9,0.518,0.008,0.39,15.1,36.2,25.2,6,2.6,3.1,12.5,22.4,1.4,5.3,6.7,0.133,-2.1,2.9,0.9,1.8
18,Andre Roberson,G,1,OKC,79,30.1,204,2.6,4.1,0,1,377,SF,25,OKC,79,2376,9.6,0.51,0.397,0.24,4.6,14.2,9.4,4.6,1.9,2.7,9.1,10.1,1.1,3.1,4.2,0.085,-2.1,2.1,0,1.2
19,Andrew Bogut, C,0,CLE/DAL,27,21.6,86,3.2,7.1,3,2,51,C,32,TOT,27,583,9.3,0.46,0.012,0.136,10.6,33.9,21.7,12.3,1.2,3.9,33.4,10.4,-0.3,1,0.7,0.055,-5.6,5.3,-0.3,0.3
20,Andrew Harrison,G,1,MEM,72,20.5,194,2.7,6.3,1,2,182,PG,22,MEM,72,1474,8.7,0.477,0.433,0.539,1.7,9,5.3,20,1.9,1.4,16,16.4,0,1.5,1.6,0.051,-2.4,0,-2.4,-0.2
21,Andrew Nicholson,F,1,BKN/WSH,38,9,55,1.4,7.7,0,1,327,PF,27,TOT,38,342,5.9,0.427,0.243,0.126,4.9,14.6,9.8,4.1,2.3,1.5,12.7,17,-0.5,0.4,-0.1,-0.019,-5.9,-0.5,-6.4,-0.4
22,Anthony Bennett,F,1,BKN,23,11.5,18,0.8,3.3,0,0,42,PF,23,BRK,23,264,14.7,0.533,0.522,0.391,10.2,21,15.6,7.1,0.9,0.9,10,19.4,0.3,0.2,0.5,0.09,-0.8,-2.2,-3,-0.1
23,Anthony Brown, F,NA,MIN,1,4,0,0,0,0,0,59,SF,24,TOT,11,159,7.2,0.43,0.54,0,5.3,16.9,11,7.6,1.5,0.5,10.7,15.6,-0.2,0.2,0,0.001,-3.8,-0.2,-4,-0.1
24,Anthony Brown, F,1,NO/ORL,11,14.5,15,1.4,4.5,0,0,59,SF,24,TOT,11,159,7.2,0.43,0.54,0,5.3,16.9,11,7.6,1.5,0.5,10.7,15.6,-0.2,0.2,0,0.001,-3.8,-0.2,-4,-0.1
25,Anthony Tolliver,F,1,SAC,65,22.7,109,1.7,3.5,0,0,431,PF,31,SAC,65,1477,11.1,0.595,0.655,0.234,4,14.4,9.3,7.7,1.2,1.2,12.6,13.6,1.5,0.8,2.3,0.075,0.2,-0.7,-0.4,0.6
26,Arinze Onuaku,F,1,ORL,8,3.5,3,0.4,5.1,0,0,341,C,29,ORL,8,28,5.8,0.5,0,0,7.6,16,11.7,9.9,0,2.9,33.3,9.4,0,0,0,-0.005,-6.5,0.7,-5.9,0
27,Aron Baynes,F,0,DET,75,15.5,166,2.2,6.9,0,0,34,C,30,DET,75,1163,13.1,0.57,0,0.337,10,21.6,15.6,3.9,0.7,2.8,13.5,14.1,1.4,1.5,3,0.123,-2.9,1.1,-1.8,0.1
28,Arron Afflalo,G,1,SAC,61,25.9,104,1.7,3.2,1,0,4,SG,31,SAC,61,1580,8.9,0.559,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,1.2,0.2,1.4,0.043,-1.4,-2.1,-3.5,-0.6
29,Austin Rivers,G,1,LAC,74,27.8,187,2.5,4.4,0,5,376,SG,24,LAC,74,2054,11.4,0.545,0.409,0.261,1.1,7.5,4.4,15,1.2,0.4,12.4,20.3,1.2,1.3,2.5,0.059,-0.1,-1.5,-1.6,0.2
30,Avery Bradley,G,1,BOS,55,33.4,141,2.6,3.7,0,1,55,SG,26,BOS,55,1835,14.4,0.548,0.357,0.12,4,16.2,10.1,11,1.8,0.5,9.7,21.9,1.1,2,3.1,0.081,-0.2,-0.4,-0.5,0.7
31,Axel Toupane,G,1,NO/MIL,4,11.8,6,1.5,6.1,0,0,432,SF,24,TOT,4,47,6.2,0.611,0.444,0,0,2.3,1.1,0,1,1.7,0,8.5,0,0,0.1,0.061,-2.8,-1,-3.8,0
32,Ben Bentil,F,1,DAL,3,3.3,1,0.3,4.8,0,0,43,PF,21,DAL,3,10,-17.6,0,0.333,0,0,24.4,11.6,0,0,0,25,18.9,-0.1,0,-0.1,-0.473,-22.4,-4.5,-26.9,-0.1
33,Ben McLemore,G,1,SAC,61,19.3,108,1.8,4.4,0,0,295,SG,23,SAC,61,1176,9.8,0.538,0.406,0.222,1.9,10.7,6.3,6.9,1.2,0.5,11.9,20.1,-0.1,0.5,0.4,0.015,-2.2,-2.7,-4.9,-0.9
34,Bismack Biyombo, C,1,ORL,81,22.1,202,2.5,5.4,1,3,46,C,24,ORL,81,1793,12.2,0.546,0,0.69,9.3,25.6,17.2,6,0.7,4.1,17.7,13.2,0.8,2.1,2.9,0.077,-4.2,2,-2.2,-0.1
35,Blake Griffin,F,0,LAC,61,34,157,2.6,3.6,2,4,168,PF,27,LAC,61,2076,22.6,0.569,0.116,0.434,6.2,20.2,13.4,24.5,1.4,0.9,10.9,28,5.4,2.4,7.7,0.179,3.2,1.3,4.4,3.4
36,Boban Marjanovic, C,0,DET,35,8.4,25,0.7,4.1,0,0,282,C,28,DET,35,293,29.6,0.606,0,0.439,16.5,32.5,24.2,5.3,1,3.4,6,25.3,1.2,0.5,1.7,0.28,1,-0.9,0.1,0.2
37,Bobby Portis,F,1,CHI,64,15.6,94,1.5,4.5,0,1,362,PF,21,CHI,64,1000,14.9,0.545,0.256,0.157,8,24,16,5.7,0.8,0.9,8.4,19.1,1.1,1.2,2.4,0.114,-1.6,-1.5,-3,-0.3
38,Brandan Wright, F,1,MEM,28,16,42,1.5,4.5,0,0,476,PF,29,MEM,28,447,18.5,0.628,0.007,0.259,7.7,12.4,10,6,1.3,4.3,6.2,16.3,1.1,0.5,1.6,0.177,0,1.3,1.3,0.4
